hour,PL,PL pomorskie,PL zachodniopomorskie,DE,LT,SE
2013-01-01 00:00:00,0.95,0.95,0.95,0.95,0.95,0.911
2013-01-01 01:00:00,0.95,0.95,0.95,0.635,0.95,0.889
2013-01-01 02:00:00,0.95,0.95,0.95,0.507,0.95,0.891
2013-01-01 03:00:00,0.95,0.95,0.95,0.366,0.95,0.908
2013-01-01 04:00:00,0.95,0.95,0.95,0.381,0.95,0.919
2013-01-01 05:00:00,0.95,0.95,0.95,0.371,0.95,0.923
2013-01-01 06:00:00,0.95,0.95,0.95,0.342,0.95,0.924
2013-01-01 07:00:00,0.95,0.95,0.95,0.371,0.95,0.911
2013-01-01 08:00:00,0.95,0.95,0.95,0.442,0.95,0.882
2013-01-01 09:00:00,0.95,0.95,0.95,0.483,0.95,0.855
2013-01-01 10:00:00,0.95,0.95,0.95,0.491,0.95,0.833
2013-01-01 11:00:00,0.95,0.95,0.95,0.541,0.95,0.812
2013-01-01 12:00:00,0.95,0.95,0.95,0.587,0.949,0.803
2013-01-01 13:00:00,0.95,0.95,0.95,0.629,0.949,0.795
2013-01-01 14:00:00,0.949,0.949,0.949,0.672,0.947,0.773
2013-01-01 15:00:00,0.949,0.949,0.949,0.717,0.937,0.758
2013-01-01 16:00:00,0.946,0.946,0.946,0.761,0.92,0.742
2013-01-01 17:00:00,0.945,0.945,0.945,0.809,0.895,0.703
2013-01-01 18:00:00,0.946,0.946,0.946,0.834,0.926,0.668
2013-01-01 19:00:00,0.945,0.945,0.945,0.853,0.94,0.647
2013-01-01 20:00:00,0.937,0.937,0.937,0.862,0.948,0.639
2013-01-01 21:00:00,0.886,0.886,0.886,0.877,0.949,0.558
2013-01-01 22:00:00,0.766,0.766,0.766,0.891,0.941,0.502
2013-01-01 23:00:00,0.676,0.676,0.676,0.91,0.868,0.475
2013-01-02 00:00:00,0.652,0.652,0.652,0.902,0.749,0.465
2013-01-02 01:00:00,0.616,0.616,0.616,0.91,0.676,0.466
2013-01-02 02:00:00,0.534,0.534,0.534,0.926,0.664,0.445
2013-01-02 03:00:00,0.522,0.522,0.522,0.918,0.555,0.461
2013-01-02 04:00:00,0.646,0.646,0.646,0.876,0.499,0.495
2013-01-02 05:00:00,0.632,0.632,0.632,0.877,0.572,0.479
2013-01-02 06:00:00,0.608,0.608,0.608,0.855,0.484,0.474
2013-01-02 07:00:00,0.696,0.696,0.696,0.792,0.42,0.488
2013-01-02 08:00:00,0.798,0.798,0.798,0.759,0.486,0.504
2013-01-02 09:00:00,0.886,0.886,0.886,0.767,0.658,0.518
2013-01-02 10:00:00,0.916,0.916,0.916,0.762,0.813,0.526
2013-01-02 11:00:00,0.937,0.937,0.937,0.781,0.904,0.554
2013-01-02 12:00:00,0.939,0.939,0.939,0.719,0.939,0.53
2013-01-02 13:00:00,0.912,0.912,0.912,0.674,0.939,0.478
2013-01-02 14:00:00,0.862,0.862,0.862,0.612,0.925,0.488
2013-01-02 15:00:00,0.865,0.865,0.865,0.73,0.927,0.512
2013-01-02 16:00:00,0.826,0.826,0.826,0.785,0.933,0.548
2013-01-02 17:00:00,0.824,0.824,0.824,0.831,0.918,0.602
2013-01-02 18:00:00,0.877,0.877,0.877,0.85,0.892,0.645
2013-01-02 19:00:00,0.936,0.936,0.936,0.819,0.871,0.669
2013-01-02 20:00:00,0.948,0.948,0.948,0.868,0.902,0.69
2013-01-02 21:00:00,0.949,0.949,0.949,0.916,0.938,0.694
2013-01-02 22:00:00,0.95,0.95,0.95,0.932,0.934,0.691
2013-01-02 23:00:00,0.95,0.95,0.95,0.947,0.921,0.681
2013-01-03 00:00:00,0.95,0.95,0.95,0.947,0.929,0.68
2013-01-03 01:00:00,0.95,0.95,0.95,0.948,0.939,0.694
2013-01-03 02:00:00,0.95,0.95,0.95,0.948,0.947,0.691
2013-01-03 03:00:00,0.95,0.95,0.95,0.947,0.95,0.684
2013-01-03 04:00:00,0.95,0.95,0.95,0.948,0.95,0.685
2013-01-03 05:00:00,0.95,0.95,0.95,0.949,0.95,0.685
2013-01-03 06:00:00,0.95,0.95,0.95,0.948,0.95,0.693
2013-01-03 07:00:00,0.95,0.95,0.95,0.949,0.949,0.698
2013-01-03 08:00:00,0.95,0.95,0.95,0.948,0.95,0.713
2013-01-03 09:00:00,0.948,0.948,0.948,0.947,0.947,0.742
2013-01-03 10:00:00,0.949,0.949,0.949,0.947,0.934,0.769
2013-01-03 11:00:00,0.949,0.949,0.949,0.949,0.915,0.78
2013-01-03 12:00:00,0.949,0.949,0.949,0.949,0.934,0.787
2013-01-03 13:00:00,0.95,0.95,0.95,0.949,0.894,0.787
2013-01-03 14:00:00,0.95,0.95,0.95,0.949,0.878,0.77
2013-01-03 15:00:00,0.95,0.95,0.95,0.949,0.939,0.748
2013-01-03 16:00:00,0.95,0.95,0.95,0.947,0.95,0.743
2013-01-03 17:00:00,0.95,0.95,0.95,0.925,0.95,0.743
2013-01-03 18:00:00,0.95,0.95,0.95,0.89,0.95,0.744
