year,Country,Technology,Installed capacity [GW]
2025,PL,Biogas CHP,0.33
2025,PL,Biomass boiler,23.1
2025,PL,Biomass straw CHP,0.78
2025,PL,Biomass wood chips CHP,0.82
2025,PL,Conventional boiler,95.1
2025,PL,Conventional heating plant,38.96
2025,PL,Hard coal CHP,7.72
2025,PL,Heat pump small,4.45
2025,PL,Natural gas CHP,1.98
2025,PL,Resistive heater small,2.23
