year,Country,Technology,Electricity Production [TWh]
2025,SE,Biomass wood chips,0.0
2025,SE,DSR,0.0
2025,SE,Export,-5.26
2025,SE,Hydro ROR,72.05
2025,SE,Natural gas,0.0
2025,SE,Nuclear,33.63
2025,SE,PV,3.16
2025,SE,Wind offshore,1.69
2025,SE,Wind onshore,41.08
2025,SK,Biogas,0.03
2025,SK,Biomass straw,1.24
2025,SK,Biomass wood chips,1.28
2025,SK,DSR,0.0
2025,SK,Export,-7.74
2025,SK,Hydro PSH dispatch,0.0
2025,SK,Hydro PSH store,0.0
2025,SK,Hydro ROR,3.94
2025,SK,Import,1.54
2025,SK,Lignite,0.0
2025,SK,Natural gas,6.49
2025,SK,Nuclear,21.05
2025,SK,Oil,0.0
2025,SK,PV,1.07
2025,SK,Wind onshore,0.5
