technology,carrier,aggregation,parent,bus_carrier,input_carrier,output_carrier,output2_carrier,component,color,order
heat storage large tank,heat storage large tank,heat storage large,heat storage large tank discharge,heat storage large tank heat,,,,Store,#aa1817,330
heat storage large tank discharge,heat storage large tank discharge,heat storage large,,,heat storage large tank heat,heat centralised in,,Link,#aa1817,331
heat storage large tank charge,heat storage large tank charge,heat storage large,heat storage large tank discharge,,heat centralised in,heat storage large tank heat,,Link,#aa1817,332
centralised space heating,centralised space heating,centralised heating,,,heat centralised out,space heating,,Link,#b6b6b7,391
centralised water heating,centralised water heating,centralised heating,,,heat centralised out,water heating,,Link,#b6b6b7,392
centralised other heating,centralised other heating,centralised heating,,,heat centralised out,other heating,,Link,#b6b6b7,393
hard coal boiler,hard coal boiler,hard coal boiler,,,hard coal,heat decentralised,,Link,#b5c6cf,401
natural gas boiler,natural gas boiler,natural gas boiler,,,natural gas,heat decentralised,,Link,#4b7689,411
other boiler,other boiler,other boiler,,,other fuel,heat decentralised,,Link,#263b46,421
biomass wood boiler,biomass wood boiler,biomass wood boiler,,,biomass wood,heat decentralised,,Link,#ab9d99,431
other RES heat,other RES heat,other RES heat,,,,heat decentralised,,Generator,#573c33,441
heat pump small AW,heat pump small,heat pump small,,,electricity out,heat decentralised,,Link,#f4a6a5,451
resistive heater small,resistive heater small,resistive heater small,heat pump small AW,,electricity out,heat decentralised,,Link,#e94d4c,461
heat storage small,heat storage small,heat storage small,heat storage small discharge,heat storage small heat,,,,Store,#aa1817,470
heat storage small discharge,heat storage small discharge,heat storage small,heat pump small AW,,heat storage small heat,heat decentralised,,Link,#aa1817,471
heat storage small charge,heat storage small charge,heat storage small,heat storage small discharge,,heat decentralised,heat storage small heat,,Link,#aa1817,472
decentralised space heating,decentralised space heating,decentralised heating,,,heat decentralised,space heating,,Link,#b6b6b7,481
decentralised water heating,decentralised water heating,decentralised heating,,,heat decentralised,water heating,,Link,#b6b6b7,482
building retrofits,building retrofits,building retrofits,,,,space heating,,Generator,#1b1c1e,491
ICE vehicle fuel supply,ICE vehicle fuel supply,ICE vehicle fuel supply,,,,ICE vehicle fuel,,Generator,#263b46,500
ICE vehicle,ICE vehicle,ICE vehicle,,,ICE vehicle fuel,light vehicle mobility,,Link,#263b46,501
BEV,BEV,BEV,,,BEV electricity,light vehicle mobility,,Link,#153d80,521
BEV battery,BEV battery,BEV,BEV,BEV electricity,,,,Store,#153d80,522
BEV charger,BEV charger,BEV,BEV,,electricity out,BEV electricity,,Link,#153d80,523
light vehicle mobility,light vehicle mobility,light vehicle mobility,,,light vehicle mobility,light vehicle mobility,,Link,#b6b6b7,591
natural gas reforming,natural gas reforming,natural gas reforming,,,natural gas,hydrogen,,Link,#4b7689,601
hydrogen electrolysis,hydrogen electrolysis,hydrogen electrolysis,,,electricity out,hydrogen,,Link,#80e5ff,611
hydrogen storage,hydrogen storage,hydrogen storage,,hydrogen,,,,Store,#00aad4,612
hydrogen,hydrogen,hydrogen,,,hydrogen,hydrogen,,Link,#b6b6b7,691
process emissions supply,process emissions supply,process emissions supply,,,,process emissions,,Generator,#b6b6b7,801
lulucf supply,lulucf supply,lulucf supply,,,,lulucf,,Generator,#b6b6b7,802
electricity grid,electricity grid,electricity grid,,,electricity in,electricity out,,Link,#b6b6b7,1201
district heating,district heating,district heating,,,heat centralised in,heat centralised out,,Link,#b6b6b7,1301
