hour,PL,DE,LT,SE
2012-03-09 00:00:00,0.769,0.912,0.646,0.777
2012-03-09 01:00:00,0.724,0.898,0.642,0.745
2012-03-09 02:00:00,0.673,0.842,0.559,0.687
2012-03-09 03:00:00,0.668,0.752,0.5,0.651
2012-03-09 04:00:00,0.682,0.635,0.512,0.631
2012-03-09 05:00:00,0.697,0.602,0.604,0.616
2012-03-09 06:00:00,0.698,0.609,0.682,0.605
2012-03-09 07:00:00,0.704,0.577,0.73,0.6
2012-03-09 08:00:00,0.704,0.52,0.763,0.586
2012-03-09 09:00:00,0.674,0.472,0.763,0.555
2012-03-09 10:00:00,0.592,0.402,0.72,0.505
2012-03-09 11:00:00,0.485,0.303,0.688,0.428
2012-03-09 12:00:00,0.397,0.272,0.619,0.397
2012-03-09 13:00:00,0.34,0.257,0.602,0.379
2012-03-09 14:00:00,0.285,0.265,0.611,0.371
2012-03-09 15:00:00,0.236,0.284,0.592,0.358
2012-03-09 16:00:00,0.205,0.319,0.565,0.331
2012-03-09 17:00:00,0.182,0.306,0.579,0.302
2012-03-09 18:00:00,0.157,0.268,0.614,0.284
2012-03-09 19:00:00,0.139,0.246,0.644,0.271
2012-03-09 20:00:00,0.116,0.243,0.656,0.266
2012-03-09 21:00:00,0.091,0.273,0.622,0.262
2012-03-09 22:00:00,0.061,0.33,0.542,0.257
2012-03-09 23:00:00,0.063,0.413,0.492,0.276
2012-03-10 00:00:00,0.072,0.519,0.437,0.284
2012-03-10 01:00:00,0.086,0.658,0.341,0.308
2012-03-10 02:00:00,0.113,0.737,0.217,0.325
2012-03-10 03:00:00,0.099,0.775,0.134,0.325
2012-03-10 04:00:00,0.096,0.795,0.087,0.336
2012-03-10 05:00:00,0.119,0.801,0.064,0.343
2012-03-10 06:00:00,0.139,0.812,0.093,0.37
2012-03-10 07:00:00,0.175,0.834,0.12,0.408
2012-03-10 08:00:00,0.235,0.861,0.136,0.465
2012-03-10 09:00:00,0.365,0.879,0.218,0.538
2012-03-10 10:00:00,0.443,0.891,0.318,0.617
2012-03-10 11:00:00,0.525,0.919,0.32,0.716
2012-03-10 12:00:00,0.661,0.93,0.382,0.811
2012-03-10 13:00:00,0.834,0.934,0.42,0.874
2012-03-10 14:00:00,0.924,0.939,0.526,0.909
2012-03-10 15:00:00,0.947,0.943,0.76,0.92
2012-03-10 16:00:00,0.95,0.944,0.904,0.929
2012-03-10 17:00:00,0.95,0.945,0.942,0.93
2012-03-10 18:00:00,0.95,0.945,0.949,0.932
2012-03-10 19:00:00,0.95,0.943,0.95,0.932
2012-03-10 20:00:00,0.95,0.939,0.95,0.93
2012-03-10 21:00:00,0.95,0.936,0.95,0.919
2012-03-10 22:00:00,0.95,0.936,0.95,0.875
2012-03-10 23:00:00,0.95,0.934,0.95,0.836
2012-03-11 00:00:00,0.95,0.931,0.95,0.809
2012-03-11 01:00:00,0.95,0.926,0.95,0.796
2012-03-11 02:00:00,0.95,0.92,0.95,0.761
2012-03-11 03:00:00,0.95,0.913,0.95,0.734
2012-03-11 04:00:00,0.95,0.897,0.95,0.705
2012-03-11 05:00:00,0.95,0.882,0.95,0.661
2012-03-11 06:00:00,0.95,0.881,0.95,0.625
2012-03-11 07:00:00,0.95,0.881,0.95,0.607
2012-03-11 08:00:00,0.95,0.882,0.949,0.598
2012-03-11 09:00:00,0.95,0.891,0.946,0.594
2012-03-11 10:00:00,0.949,0.897,0.942,0.61
2012-03-11 11:00:00,0.947,0.852,0.923,0.667
2012-03-11 12:00:00,0.95,0.867,0.944,0.719
2012-03-11 13:00:00,0.95,0.881,0.95,0.724
2012-03-11 14:00:00,0.95,0.895,0.95,0.732
2012-03-11 15:00:00,0.95,0.869,0.95,0.773
2012-03-11 16:00:00,0.95,0.819,0.95,0.791
2012-03-11 17:00:00,0.95,0.833,0.95,0.814
2012-03-11 18:00:00,0.95,0.862,0.95,0.842
2012-03-11 19:00:00,0.95,0.871,0.95,0.917
2012-03-11 20:00:00,0.95,0.87,0.95,0.945
2012-03-11 21:00:00,0.95,0.87,0.95,0.947
2012-03-11 22:00:00,0.95,0.877,0.95,0.949
2012-03-11 23:00:00,0.95,0.901,0.95,0.949
2012-03-12 00:00:00,0.95,0.919,0.95,0.947
2012-03-12 01:00:00,0.95,0.922,0.95,0.944
2012-03-12 02:00:00,0.95,0.902,0.95,0.928
2012-03-12 03:00:00,0.95,0.876,0.95,0.892
2012-03-12 04:00:00,0.95,0.86,0.95,0.873
2012-03-12 05:00:00,0.95,0.848,0.95,0.855
2012-03-12 06:00:00,0.95,0.815,0.95,0.841
2012-03-12 07:00:00,0.95,0.786,0.95,0.833
2012-03-12 08:00:00,0.95,0.737,0.95,0.821
2012-03-12 09:00:00,0.95,0.694,0.95,0.803
2012-03-12 10:00:00,0.95,0.658,0.95,0.759
2012-03-12 11:00:00,0.926,0.646,0.95,0.639
2012-03-12 12:00:00,0.908,0.765,0.95,0.626
2012-03-12 13:00:00,0.88,0.804,0.949,0.667
2012-03-12 14:00:00,0.79,0.794,0.938,0.67
2012-03-12 15:00:00,0.762,0.795,0.9,0.689
2012-03-12 16:00:00,0.758,0.787,0.755,0.721
2012-03-12 17:00:00,0.788,0.779,0.527,0.766
2012-03-12 18:00:00,0.839,0.737,0.351,0.806
2012-03-12 19:00:00,0.889,0.722,0.221,0.829
2012-03-12 20:00:00,0.917,0.732,0.176,0.838
2012-03-12 21:00:00,0.914,0.731,0.285,0.854
2012-03-12 22:00:00,0.912,0.709,0.45,0.855
2012-03-12 23:00:00,0.905,0.752,0.578,0.832
2012-03-13 00:00:00,0.884,0.746,0.639,0.807
2012-03-13 01:00:00,0.86,0.724,0.615,0.8
2012-03-13 02:00:00,0.887,0.705,0.63,0.801
2012-03-13 03:00:00,0.875,0.691,0.619,0.792
2012-03-13 04:00:00,0.866,0.7,0.656,0.802
2012-03-13 05:00:00,0.816,0.737,0.674,0.749
2012-03-13 06:00:00,0.779,0.773,0.609,0.799
2012-03-13 07:00:00,0.867,0.797,0.749,0.777
2012-03-13 08:00:00,0.708,0.798,0.703,0.675
2012-03-13 09:00:00,0.538,0.792,0.592,0.604
2012-03-13 10:00:00,0.461,0.782,0.504,0.541
2012-03-13 11:00:00,0.324,0.834,0.319,0.445
2012-03-13 12:00:00,0.158,0.839,0.207,0.37
2012-03-13 13:00:00,0.055,0.842,0.105,0.356
2012-03-13 14:00:00,0.039,0.845,0.105,0.375
2012-03-13 15:00:00,0.109,0.842,0.2,0.433
2012-03-13 16:00:00,0.194,0.83,0.224,0.475
2012-03-13 17:00:00,0.245,0.824,0.196,0.522
2012-03-13 18:00:00,0.26,0.831,0.225,0.534
2012-03-13 19:00:00,0.246,0.826,0.263,0.542
2012-03-13 20:00:00,0.277,0.801,0.284,0.576
2012-03-13 21:00:00,0.284,0.767,0.339,0.58
2012-03-13 22:00:00,0.254,0.739,0.406,0.551
2012-03-13 23:00:00,0.392,0.731,0.613,0.552
2012-03-14 00:00:00,0.357,0.738,0.658,0.498
2012-03-14 01:00:00,0.302,0.735,0.674,0.55
2012-03-14 02:00:00,0.332,0.743,0.728,0.599
2012-03-14 03:00:00,0.5,0.757,0.837,0.652
2012-03-14 04:00:00,0.721,0.753,0.925,0.726
2012-03-14 05:00:00,0.83,0.726,0.941,0.745
2012-03-14 06:00:00,0.782,0.678,0.918,0.724
2012-03-14 07:00:00,0.793,0.635,0.85,0.798
2012-03-14 08:00:00,0.922,0.613,0.871,0.861
2012-03-14 09:00:00,0.947,0.594,0.921,0.871
2012-03-14 10:00:00,0.949,0.571,0.93,0.871
2012-03-14 11:00:00,0.949,0.605,0.934,0.875
2012-03-14 12:00:00,0.95,0.581,0.946,0.869
2012-03-14 13:00:00,0.95,0.592,0.948,0.883
2012-03-14 14:00:00,0.95,0.598,0.948,0.871
2012-03-14 15:00:00,0.948,0.612,0.944,0.862
2012-03-14 16:00:00,0.937,0.593,0.931,0.849
2012-03-14 17:00:00,0.913,0.579,0.888,0.846
2012-03-14 18:00:00,0.847,0.595,0.775,0.843
2012-03-14 19:00:00,0.813,0.598,0.898,0.838
2012-03-14 20:00:00,0.782,0.563,0.801,0.823
2012-03-14 21:00:00,0.743,0.572,0.602,0.797
2012-03-14 22:00:00,0.543,0.561,0.382,0.669
2012-03-14 23:00:00,0.403,0.595,0.382,0.53
2012-03-15 00:00:00,0.34,0.533,0.323,0.458
2012-03-15 01:00:00,0.264,0.491,0.201,0.455
2012-03-15 02:00:00,0.175,0.424,0.149,0.443
2012-03-15 03:00:00,0.118,0.378,0.162,0.401
2012-03-15 04:00:00,0.063,0.363,0.238,0.38
2012-03-15 05:00:00,0.036,0.357,0.344,0.361
2012-03-15 06:00:00,0.026,0.342,0.42,0.338
2012-03-15 07:00:00,0.024,0.323,0.458,0.321
2012-03-15 08:00:00,0.047,0.299,0.523,0.309
2012-03-15 09:00:00,0.108,0.282,0.564,0.302
2012-03-15 10:00:00,0.2,0.268,0.531,0.289
2012-03-15 11:00:00,0.391,0.321,0.514,0.323
2012-03-15 12:00:00,0.325,0.268,0.516,0.285
2012-03-15 13:00:00,0.318,0.211,0.6,0.258
2012-03-15 14:00:00,0.351,0.181,0.657,0.222
2012-03-15 15:00:00,0.452,0.15,0.761,0.188
2012-03-15 16:00:00,0.439,0.111,0.756,0.138
2012-03-15 17:00:00,0.319,0.084,0.647,0.087
2012-03-15 18:00:00,0.2,0.068,0.556,0.045
2012-03-15 19:00:00,0.069,0.079,0.42,0.023
2012-03-15 20:00:00,0.016,0.102,0.293,0.02
2012-03-15 21:00:00,0.001,0.122,0.161,0.028
2012-03-15 22:00:00,0.001,0.12,0.082,0.051
2012-03-15 23:00:00,0.004,0.121,0.051,0.069
2012-05-14 00:00:00,0.23,0.453,0.412,0.3
2012-05-14 01:00:00,0.115,0.387,0.356,0.224
2012-05-14 02:00:00,0.051,0.364,0.33,0.165
2012-05-14 03:00:00,0.033,0.418,0.335,0.125
2012-05-14 04:00:00,0.027,0.434,0.304,0.102
2012-05-14 05:00:00,0.026,0.462,0.23,0.092
2012-05-14 06:00:00,0.034,0.423,0.131,0.075
2012-05-14 07:00:00,0.042,0.358,0.057,0.08
2012-05-14 08:00:00,0.032,0.362,0.016,0.05
2012-05-14 09:00:00,0.023,0.412,0.002,0.032
2012-05-14 10:00:00,0.027,0.482,0.005,0.037
2012-05-14 11:00:00,0.033,0.553,0.014,0.066
2012-05-14 12:00:00,0.057,0.624,0.013,0.11
2012-05-14 13:00:00,0.092,0.664,0.013,0.176
2012-05-14 14:00:00,0.119,0.691,0.029,0.27
2012-05-14 15:00:00,0.143,0.715,0.041,0.383
2012-05-14 16:00:00,0.176,0.73,0.036,0.453
2012-05-14 17:00:00,0.204,0.737,0.019,0.489
2012-05-14 18:00:00,0.218,0.736,0.02,0.498
2012-05-14 19:00:00,0.211,0.733,0.028,0.497
2012-05-14 20:00:00,0.196,0.75,0.018,0.517
2012-05-14 21:00:00,0.241,0.777,0.035,0.548
2012-05-14 22:00:00,0.318,0.808,0.072,0.57
2012-05-14 23:00:00,0.523,0.853,0.174,0.595
2012-05-15 00:00:00,0.48,0.868,0.273,0.531
2012-05-15 01:00:00,0.401,0.881,0.314,0.51
2012-05-15 02:00:00,0.378,0.89,0.284,0.536
2012-05-15 03:00:00,0.383,0.903,0.282,0.574
2012-05-15 04:00:00,0.386,0.913,0.288,0.629
2012-05-15 05:00:00,0.431,0.916,0.279,0.692
2012-05-15 06:00:00,0.462,0.912,0.317,0.727
2012-05-15 07:00:00,0.473,0.906,0.369,0.766
2012-05-15 08:00:00,0.495,0.893,0.377,0.81
2012-05-15 09:00:00,0.507,0.875,0.356,0.838
2012-05-15 10:00:00,0.485,0.858,0.31,0.853
2012-05-15 11:00:00,0.297,0.785,0.207,0.756
2012-05-15 12:00:00,0.209,0.779,0.186,0.746
2012-05-15 13:00:00,0.148,0.769,0.153,0.733
2012-05-15 14:00:00,0.107,0.716,0.153,0.674
2012-05-15 15:00:00,0.109,0.625,0.204,0.571
2012-05-15 16:00:00,0.166,0.533,0.233,0.478
2012-05-15 17:00:00,0.202,0.464,0.238,0.431
2012-05-15 18:00:00,0.195,0.382,0.266,0.428
2012-05-15 19:00:00,0.205,0.294,0.367,0.445
2012-05-15 20:00:00,0.225,0.24,0.554,0.464
2012-05-15 21:00:00,0.247,0.201,0.743,0.475
2012-05-15 22:00:00,0.3,0.19,0.861,0.483
2012-05-15 23:00:00,0.4,0.149,0.924,0.509
2012-05-16 00:00:00,0.558,0.131,0.931,0.586
2012-05-16 01:00:00,0.594,0.131,0.907,0.665
2012-05-16 02:00:00,0.502,0.12,0.824,0.661
2012-05-16 03:00:00,0.423,0.104,0.702,0.622
2012-05-16 04:00:00,0.414,0.089,0.586,0.575
2012-05-16 05:00:00,0.474,0.082,0.526,0.556
2012-05-16 06:00:00,0.54,0.075,0.527,0.586
2012-05-16 07:00:00,0.54,0.069,0.49,0.624
2012-05-16 08:00:00,0.479,0.069,0.419,0.658
2012-05-16 09:00:00,0.4,0.071,0.352,0.657
2012-05-16 10:00:00,0.326,0.077,0.291,0.601
2012-05-16 11:00:00,0.421,0.107,0.26,0.467
2012-05-16 12:00:00,0.507,0.158,0.381,0.537
2012-05-16 13:00:00,0.571,0.208,0.505,0.634
2012-05-16 14:00:00,0.613,0.24,0.509,0.683
2012-05-16 15:00:00,0.662,0.269,0.412,0.704
2012-05-16 16:00:00,0.632,0.306,0.267,0.713
2012-05-16 17:00:00,0.575,0.361,0.166,0.724
2012-05-16 18:00:00,0.548,0.48,0.13,0.718
2012-05-16 19:00:00,0.562,0.645,0.133,0.708
2012-05-16 20:00:00,0.525,0.807,0.145,0.687
2012-05-16 21:00:00,0.441,0.875,0.169,0.644
2012-05-16 22:00:00,0.353,0.901,0.225,0.58
2012-05-16 23:00:00,0.349,0.89,0.39,0.507
2012-05-17 00:00:00,0.26,0.873,0.435,0.423
2012-05-17 01:00:00,0.172,0.846,0.304,0.376
2012-05-17 02:00:00,0.074,0.83,0.183,0.301
2012-05-17 03:00:00,0.051,0.829,0.171,0.229
2012-05-17 04:00:00,0.11,0.836,0.206,0.186
2012-05-17 05:00:00,0.161,0.848,0.188,0.144
2012-05-17 06:00:00,0.145,0.861,0.132,0.125
2012-05-17 07:00:00,0.077,0.868,0.049,0.116
2012-05-17 08:00:00,0.028,0.874,0.014,0.101
2012-05-17 09:00:00,0.014,0.877,0.027,0.095
2012-05-17 10:00:00,0.007,0.883,0.039,0.09
2012-05-17 11:00:00,0.003,0.89,0.035,0.053
2012-05-17 12:00:00,0.006,0.895,0.008,0.059
2012-05-17 13:00:00,0.005,0.904,0.013,0.077
2012-05-17 14:00:00,0.008,0.913,0.013,0.099
2012-05-17 15:00:00,0.029,0.919,0.004,0.148
2012-05-17 16:00:00,0.095,0.934,0.029,0.247
