hour,PL,DE,LT,SE
2013-03-09 00:00:00,0.819,0.944,0.475,0.639
2013-03-09 01:00:00,0.8,0.944,0.48,0.619
2013-03-09 02:00:00,0.816,0.944,0.486,0.617
2013-03-09 03:00:00,0.835,0.943,0.514,0.621
2013-03-09 04:00:00,0.857,0.942,0.575,0.636
2013-03-09 05:00:00,0.883,0.943,0.654,0.657
2013-03-09 06:00:00,0.902,0.944,0.761,0.679
2013-03-09 07:00:00,0.918,0.945,0.856,0.691
2013-03-09 08:00:00,0.93,0.947,0.889,0.703
2013-03-09 09:00:00,0.938,0.948,0.885,0.728
2013-03-09 10:00:00,0.942,0.948,0.85,0.732
2013-03-09 11:00:00,0.933,0.947,0.738,0.695
2013-03-09 12:00:00,0.932,0.947,0.719,0.693
2013-03-09 13:00:00,0.931,0.948,0.753,0.695
2013-03-09 14:00:00,0.939,0.949,0.807,0.703
2013-03-09 15:00:00,0.946,0.949,0.851,0.715
2013-03-09 16:00:00,0.949,0.949,0.899,0.727
2013-03-09 17:00:00,0.95,0.95,0.937,0.742
2013-03-09 18:00:00,0.95,0.95,0.948,0.758
2013-03-09 19:00:00,0.95,0.95,0.948,0.766
2013-03-09 20:00:00,0.95,0.95,0.948,0.77
2013-03-09 21:00:00,0.95,0.95,0.948,0.77
2013-03-09 22:00:00,0.95,0.95,0.947,0.769
2013-03-09 23:00:00,0.949,0.95,0.943,0.766
2013-03-10 00:00:00,0.949,0.95,0.946,0.759
2013-03-10 01:00:00,0.949,0.95,0.949,0.746
2013-03-10 02:00:00,0.949,0.95,0.949,0.736
2013-03-10 03:00:00,0.95,0.95,0.948,0.73
2013-03-10 04:00:00,0.95,0.95,0.949,0.731
2013-03-10 05:00:00,0.95,0.95,0.95,0.734
2013-03-10 06:00:00,0.95,0.95,0.949,0.737
2013-03-10 07:00:00,0.95,0.95,0.95,0.741
2013-03-10 08:00:00,0.95,0.95,0.95,0.739
2013-03-10 09:00:00,0.95,0.95,0.95,0.741
2013-03-10 10:00:00,0.95,0.95,0.95,0.743
2013-03-10 11:00:00,0.95,0.95,0.95,0.745
2013-03-10 12:00:00,0.95,0.95,0.95,0.749
2013-03-10 13:00:00,0.95,0.95,0.95,0.757
2013-03-10 14:00:00,0.95,0.95,0.949,0.775
2013-03-10 15:00:00,0.95,0.949,0.947,0.801
2013-03-10 16:00:00,0.95,0.949,0.947,0.822
2013-03-10 17:00:00,0.95,0.948,0.947,0.835
2013-03-10 18:00:00,0.95,0.949,0.947,0.838
2013-03-10 19:00:00,0.95,0.949,0.947,0.828
2013-03-10 20:00:00,0.95,0.948,0.945,0.817
2013-03-10 21:00:00,0.95,0.945,0.942,0.802
2013-03-10 22:00:00,0.948,0.941,0.932,0.794
2013-03-10 23:00:00,0.945,0.943,0.912,0.776
2013-03-11 00:00:00,0.94,0.945,0.903,0.779
2013-03-11 01:00:00,0.94,0.944,0.906,0.781
2013-03-11 02:00:00,0.937,0.934,0.883,0.774
